reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#PWR0264,1,GND,power:GND,567.69,62.865,0,,1:None
C62,1,100nF,Device:C,223.52,43.815,0,y,1:/CIS_VREF; 2:GNDA
#PWR097,1,GNDA,power:GNDA,193.675,40.005,0,,1:None
C8,1,10uF,Device:C,158.75,225.425,0,x,1:GND; 2:+4.5V
#PWR035,1,GND,power:GND,74.93,206.375,0,,1:None
#PWR044,1,+3.3V,power:+3.3V,85.725,318.135,0,,1:None
#PWR0227,1,+3.3V,power:+3.3V,414.655,57.785,0,,1:None
C108,1,100nF,Device:C,420.37,45.085,0,x,1:GND; 2:+3.3V
#PWR074,1,GND,power:GND,133.35,370.84,0,y,1:None
C40,1,100nF,Device:C,139.7,367.03,180,,1:GND; 2:Net-(TR1-C_RD)
#PWR0120,1,+1.8V,power:+1V8,247.65,261.62,90,,1:None
R25,1,75,Device:R,181.61,386.715,180,,1:Net-(C50-Pad2); 2:Net-(C49-Pad2)
#PWR0243,1,GND,power:GND,441.325,48.895,0,y,1:None
#PWR0132,1,GND,power:GND,254,160.02,270,,1:None
#PWR021,1,GND,power:GND,171.45,229.235,0,,1:None
#PWR0238,1,GND,power:GND,434.34,32.385,0,y,1:None
R1,1,33,Device:R,30.48,34.925,90,,1:/CIS_VREF; 2:Net-(U3-AINGND1)
C6,1,100nF,Device:C,34.925,53.975,0,y,1:Net-(U3-AINGND3); 2:GNDA
R26,1,75,Device:R,187.96,386.715,180,,1:Net-(C50-Pad2); 2:Net-(C52-Pad2)
#PWR0147,1,GND,power:GND,267.97,351.155,0,,1:None
K1,1,TC2030-IDC,DVB_K:K_0100,438.785,374.015,0,,1:/DEBUG_RX; 3:/RST; 5:/SWD-IO; 2:/DEBUG_TX; 4:/SWD-CLK; 6:GND
C80,1,10nF,Device:C,318.135,81.915,180,,1:GND; 2:+3.3V
R13,1,10K,Device:R,53.975,335.915,0,,1:+3.3V; 2:Net-(U5-RXD1/MODE1)
C61,1,10µF,Device:C,220.98,110.49,0,,1:+3.3VCIS; 2:GNDA
#PWR095,1,GND,power:GND,181.61,398.145,0,y,1:None
#PWR0173,1,+1.8V,power:+1V8,294.64,254,270,,1:None
C18,1,100nF,Device:C,73.025,74.295,0,y,1:Net-(U3-REFP); 2:GNDA
C13,1,100nF,Device:C,53.975,53.975,0,y,1:Net-(U3-AIN4); 2:GNDA
C33,1,1µF,Device:C,107.95,308.61,180,,1:GND; 2:+3.3V
#PWR0135,1,GND,power:GND,254,187.96,270,,1:None
R48,1,10K,Device:R,298.45,143.51,0,,1:+1.8V; 2:Net-(J1-F_~{HOLD}/IO3)
#PWR0265,1,VBUS,power:VBUS,608.965,31.115,0,,1:None
