reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#PWR0199,1,+3.3V,power:+3.3V,378.46,24.765,0,,1:None
C7,1,100nF,Device:C,40.64,139.065,0,x,1:GND; 2:+15V
#PWR0136,1,GND,power:GND,254,193.04,270,,1:None
C127,1,4.7uF,Device:C,561.34,59.055,180,,1:GND; 2:+3.3V
#PWR05,1,GND,power:GND,34.29,142.875,0,,1:None
#PWR0163,1,GND,power:GND,290.195,233.68,90,,1:None
#PWR099,1,GNDA,power:GNDA,201.93,43.18,0,,1:None
#PWR0181,1,GND,power:GND,304.165,85.725,0,y,1:None
R36,1,10K,Device:R,241.935,346.075,180,,1:GND; 2:/RIGHT_LED
R55,1,10K,Device:R,427.99,70.485,270,,1:Net-(U14-BOOT0); 2:GND
R27,1,75,Device:R,194.31,386.715,180,,1:Net-(C50-Pad2); 2:Net-(C54-Pad2)
C128,1,4.7uF,Device:C,567.69,59.055,180,,1:GND; 2:+3.3V
L5,1,MH2029-601Y,Device:FerriteBead,114.3,308.61,0,,1:+3.3V; 2:Net-(TR1-C_RD)
#PWR0279,1,+1.8V,power:+1V8,93.98,186.69,0,,1:None
#PWR0125,1,-4.5V,power:+1V8,249.555,198.12,90,,1:None
C42,1,100nF,Device:C,161.925,69.215,0,y,1:+3.3VDIO; 2:GND
R83,1,0R,Device:R,176.53,394.335,0,,1:Net-(C50-Pad2); 2:GND
#PWR078,1,GND,power:GND,149.225,62.865,90,,1:None
R88,1,0R,Device:R,89.535,85.725,90,,1:/DCMI_PIXCLK; 2:Net-(U3-SDO/GPIO2)
#PWR0118,1,GNDA,power:GNDA,240.03,52.705,0,,1:None
C34,1,100nF,Device:C,107.95,321.945,180,,1:GND; 2:Net-(TR1-C_RD)
#PWR013,1,GND,power:GND,46.355,356.235,270,,1:None
C75,1,4.7uF,Device:C,304.165,28.575,180,,1:GND; 2:+3.3V
#PWR0261,1,GND,power:GND,559.435,80.645,90,,1:None
#PWR0193,1,GND,power:GND,345.44,330.835,0,,1:None
#PWR0291,1,GND,power:GND,215.9,243.84,0,,1:None
#PWR0213,1,GND,power:GND,399.415,48.895,0,y,1:None
R23,1,49.9,Device:R,130.175,321.945,180,,1:/RX_P; 2:Net-(TR1-C_RD)
C41,1,100nF,Device:C,150.495,158.115,0,x,1:GND; 2:+1.8V
#PWR0138,1,GND,power:GND,247.65,114.3,0,,1:None
R24,1,49.9,Device:R,135.255,321.945,180,,1:/RX_N; 2:Net-(TR1-C_RD)
C32,1,100nF,Device:C,205.74,275.59,180,,1:GND; 2:Net-(U4-CT)
#PWR0109,1,GNDA,power:GNDA,220.98,114.3,0,,1:None
C3,1,10uF,Device:C,34.29,139.065,0,x,1:GND; 2:+15V
#PWR082,1,GND,power:GND,150.495,161.925,0,,1:None
#PWR0210,1,+15V,power:+15V,27.94,135.255,0,,1:None
#PWR0131,1,GND,power:GND,252.095,269.24,270,,1:None
#PWR0232,1,GND,power:GND,420.37,48.895,0,y,1:None
L6,1,BLM18PG601SN1D,Device:FerriteBead,243.205,40.005,270,,1:Net-(J3-VREF); 2:/CIS_VREF
C5,1,10uF,Device:C,152.4,225.425,0,x,1:GND; 2:+4.5V
C118,1,1uF,Device:C,486.41,28.575,180,,1:GND; 2:+3.3V
R7,1,33,Device:R,36.83,353.695,270,,1:Net-(U5-RXD1/MODE1); 2:/ETH_RXD1
C114,1,100nF,Device:C,441.325,28.575,0,x,1:GND; 2:+3.3V
#PWR0266,1,GND,power:GND,157.48,169.545,0,,1:None
#PWR059,1,-4.5V,power:+1V8,205.74,248.92,0,,1:None
C142,1,100nF,Device:C,52.705,94.615,0,,1:Net-(U3-RCLKN); 2:GND
C120,1,100nF,Device:C,499.745,28.575,180,,1:GND; 2:+3.3V
R57,1,33,Device:R,431.8,182.245,270,,1:Net-(U14-PI2); 2:/CIS_XLSYNC
#PWR0295,1,GNDA,power:GNDA,245.11,52.705,0,,1:None
#PWR0226,1,GND,power:GND,413.385,48.895,0,y,1:None
C135,1,10µF,Device:C,210.82,252.73,0,,1:-4.5V; 2:GND
C140,1,4.7uF,Device:C,27.94,113.03,0,,1:+4.5V; 2:GND
#PWR037,1,GND,power:GND,175.26,274.32,0,,1:None
R41,1,100K,Device:R,261.62,110.49,0,,1:Net-(Q2-G); 2:GND
#PWR0117,1,GND,power:GND,239.395,361.315,0,y,1:None
#PWR0110,1,GNDA,power:GNDA,223.52,47.625,0,,1:None
C50,1,1nF,Device:C,181.61,394.335,180,,1:GND; 2:Net-(C50-Pad2)
C134,1,10µF,Device:C,220.98,240.03,0,,1:+4.6V; 2:GND
#PWR0271,1,+1.8V,power:+1V8,109.22,254,0,,1:None
#PWR07,1,+4.5V,power:+6V,152.4,221.615,0,,1:None
C66,1,100nF,Device:C,240.03,48.895,0,y,1:+3.3VCIS; 2:GNDA
#PWR0134,1,GND,power:GND,254,182.88,270,,1:None
D1,1,RCLAMP0582B-N,Power_Protection:RCLAMP0582B,147.32,365.76,90,,3:GND; 1:/TX_P; 2:/TX_N
U11,1,ICM-42688,CIS_Library:ICM-42688,325.12,46.99,0,,1:/SPI1_MISO; 2:unconnected-(U11-RESV-Pad2); 3:unconnected-(U11-RESV-Pad3); 4:/IMU_INT; 5:+3.3V; 6:GND; 7:GND; 8:+3.3V; 9:/MEMS_FSYNC; 10:unconnected-(U11-RESV-Pad10); 11:GND; 12:/IMU_CS; 13:/SPI1_SCK; 14:/SPI1_MOSI
#PWR023,1,GND,power:GND,54.61,206.375,0,,1:None
L1,1,MS1350-6R8M,Device:L,71.755,142.875,90,,1:Net-(U1-SW); 2:+4.5V
C131,1,22nF,Device:C,44.45,149.225,0,,1:Net-(U1-SS); 2:GND
C51,1,100pF,Device:C,187.325,36.195,0,x,1:GNDA; 2:/CIS_ADC_2
#PWR0171,1,GND,power:GND,282.575,376.555,270,,1:None
C103,1,100nF,Device:C,413.385,28.575,0,x,1:GND; 2:+3.3V
#PWR060,1,GND,power:GND,205.74,256.54,0,,1:None
#PWR0305,1,GND,power:GND,81.28,116.84,0,,1:None
#PWR072,1,GND,power:GND,116.84,180.975,0,,1:None
