Designator,Mid X,Mid Y,Rotation,Layer
SW4,116.15,12.51144,0.0,bottom
SW5,116.15,4.51144,0.0,bottom
U1,41.3,4.41644,-90.0,top
U10,41.0,19.10004,90.0,top
U14,153.3,9.10144,-90.0,top
U16,162.775,3.90144,90.0,top
U17,162.775,10.22144,90.0,top
U2,53.0,13.90144,135.0,top
U3,15.9,11.70004,180.0,top
U4,74.4,16.80144,180.0,top
U5,30.8,4.07504,180.0,top
U6,17.07,7.00004,180.0,top
U7,66.0,10.00004,-90.0,top
U8,47.6,21.50144,90.0,top
U9,18.2,16.70004,180.0,top
XO1,152.8,17.80144,-45.0,top
XO2,59.7,8.80144,0.0,top
